Wed Apr  9 21:50:42 2025    profile_output

         477557 function calls (430108 primitive calls) in 2.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.001    0.000    0.001    0.000 bezier.py:208(__call__)
      613    0.001    0.000    0.001    0.000 grad_mode.py:75(__init__)
      177    0.000    0.000    0.001    0.000 _utils.py:444(_rebuild_parameter)
      404    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
       13    0.000    0.000    0.001    0.000 lines.py:1029(get_path)
       22    0.000    0.000    0.001    0.000 __init__.py:116(is_available)
      126    0.000    0.000    0.001    0.000 transforms.py:1998(rotate_deg)
       24    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       64    0.000    0.000    0.001    0.000 backend_bases.py:690(new_gc)
        1    0.000    0.000    0.001    0.001 pyplot.py:462(new_figure_manager)
      336    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      161    0.000    0.000    0.001    0.000 fromnumeric.py:40(_wrapit)
        1    0.000    0.000    0.001    0.001 backend_bases.py:3404(new_figure_manager)
     3024    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
        2    0.000    0.000    0.001    0.000 axis.py:647(__init__)
     1052    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      333    0.000    0.000    0.001    0.000 transforms.py:1849(transform_affine)
        4    0.000    0.000    0.001    0.000 session.py:754(send)
      643    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      900    0.001    0.000    0.001    0.000 profiler_util.py:115(<lambda>)
      285    0.000    0.000    0.001    0.000 utils.py:11(parse)
       20    0.000    0.000    0.001    0.000 profiler.py:317(create_trace_id)
      144    0.000    0.000    0.001    0.000 hooks.py:24(__init__)
      822    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       64    0.000    0.000    0.001    0.000 backend_bases.py:766(__init__)
        6    0.000    0.000    0.001    0.000 patches.py:694(__init__)
      278    0.001    0.000    0.001    0.000 transforms.py:182(set_children)
       20    0.000    0.000    0.001    0.000 profiler.py:311(default_trace_id)
      736    0.000    0.000    0.001    0.000 storage.py:782(__init__)
       24    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      114    0.000    0.000    0.001    0.000 init.py:345(_calculate_fan_in_and_fan_out)
       24    0.000    0.000    0.001    0.000 transforms.py:463(transformed)
       18    0.000    0.000    0.001    0.000 numeric.py:2330(within_tol)
        1    0.000    0.000    0.001    0.001 figure.py:2398(__init__)
      468    0.000    0.000    0.001    0.000 module.py:905(compute_should_use_set_data)
        2    0.000    0.000    0.001    0.000 axis.py:794(_set_scale)
    92/91    0.000    0.000    0.001    0.000 transforms.py:1777(__eq__)
       24    0.000    0.000    0.001    0.000 iostream.py:655(write)
     2363    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7f847404bf60}
       64    0.000    0.000    0.001    0.000 container.py:312(_get_abs_string_index)
     1800    0.001    0.000    0.001    0.000 {built-in method torch._C._demangle}
     8188    0.001    0.000    0.001    0.000 copy.py:172(_deepcopy_atomic)
       24    0.000    0.000    0.001    0.000 axis.py:1564(_get_tick_label_size)
     1389    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       57    0.001    0.000    0.001    0.000 module.py:2031(__delattr__)
      182    0.000    0.000    0.001    0.000 fromnumeric.py:2836(min)
        2    0.000    0.000    0.001    0.000 scale.py:103(set_default_locators_and_formatters)
      158    0.000    0.000    0.001    0.000 transforms.py:2348(__init__)
      126    0.000    0.000    0.001    0.000 transforms.py:1975(rotate)
      186    0.000    0.000    0.001    0.000 fromnumeric.py:2692(max)
     1366    0.000    0.000    0.001    0.000 _tensor.py:1166(__hash__)
       34    0.000    0.000    0.001    0.000 getlimits.py:612(tiny)
     1226    0.001    0.000    0.001    0.000 {built-in method torch._C._set_grad_enabled}
        4    0.000    0.000    0.001    0.000 _base.py:2874(handle_single_axis)
      178    0.000    0.000    0.001    0.000 __init__.py:64(check_isinstance)
       16    0.000    0.000    0.001    0.000 zmqstream.py:687(_rebuild_io_state)
       34    0.001    0.000    0.001    0.000 getlimits.py:589(smallest_normal)
      613    0.000    0.000    0.001    0.000 _contextlib.py:154(__new__)
     4940    0.001    0.000    0.001    0.000 profiler_util.py:433(elapsed_us)
        8    0.000    0.000    0.001    0.000 ticker.py:1633(nonsingular)
       75    0.000    0.000    0.001    0.000 font_manager.py:615(_from_any)
      114    0.001    0.000    0.001    0.000 {built-in method torch.sqrt}
        1    0.000    0.000    0.001    0.001 axis.py:2532(__init__)
        1    0.000    0.000    0.001    0.001 _base.py:1198(_gen_axes_spines)
        4    0.000    0.000    0.001    0.000 spines.py:432(linear_spine)
      336    0.000    0.000    0.001    0.000 transforms.py:158(invalidate)
      439    0.001    0.000    0.001    0.000 {method 'size' of 'torch._C.TensorBase' objects}
       47    0.000    0.000    0.001    0.000 path.py:99(__init__)
        2    0.000    0.000    0.001    0.000 _base.py:3316(tick_params)
      716    0.000    0.000    0.001    0.000 _pytree.py:917(tree_iter)
      787    0.000    0.000    0.001    0.000 module.py:2658(<lambda>)
     3879    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      490    0.001    0.000    0.001    0.000 {method 'to' of 'torch._C.TensorBase' objects}
      736    0.000    0.000    0.001    0.000 storage.py:690(__new__)
      204    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
      842    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       20    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       20    0.000    0.000    0.001    0.000 uuid.py:723(uuid4)
      900    0.001    0.000    0.001    0.000 profiler.py:697(<lambda>)
     2072    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7f8588dd1580}
       22    0.000    0.000    0.001    0.000 __init__.py:112(_nvml_based_avail)
       78    0.000    0.000    0.001    0.000 lines.py:647(set_data)
       20    0.000    0.000    0.001    0.000 profiler.py:198(__init__)
       21    0.001    0.000    0.001    0.000 {method 'setimage' of 'ImagingEncoder' objects}
       20    0.000    0.000    0.001    0.000 JpegImagePlugin.py:62(APP)
      643    0.000    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       57    0.000    0.000    0.001    0.000 init.py:446(_calculate_correct_fan)
        1    0.001    0.001    0.001    0.001 profiler_util.py:48(_remove_dup_nodes)
       26    0.000    0.000    0.001    0.000 lines.py:1183(set_marker)
      192    0.001    0.000    0.001    0.000 {built-in method builtins.round}
       20    0.001    0.000    0.001    0.000 {built-in method torch.from_numpy}
       68    0.000    0.000    0.001    0.000 transforms.py:626(translated)
      207    0.000    0.000    0.001    0.000 artist.py:269(convert_xunits)
      193    0.000    0.000    0.001    0.000 <frozen posixpath>:71(join)
        4    0.000    0.000    0.001    0.000 session.py:690(serialize)
      404    0.000    0.000    0.001    0.000 contextlib.py:104(__init__)
       31    0.000    0.000    0.001    0.000 attrsettr.py:42(__getattr__)
      819    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.001    0.000 spines.py:35(__init__)
       74    0.000    0.000    0.001    0.000 inspect.py:3093(replace)
      240    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       21    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
       12    0.000    0.000    0.000    0.000 ticker.py:781(_set_format)
      460    0.000    0.000    0.000    0.000 _binary.py:90(i16be)
      468    0.000    0.000    0.000    0.000 _python_dispatch.py:368(is_traceable_wrapper_subclass)
       24    0.000    0.000    0.000    0.000 <frozen os>:808(getenv)
        2    0.000    0.000    0.000    0.000 subprocess.py:1259(wait)
      422    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       81    0.000    0.000    0.000    0.000 axis.py:1758(convert_units)
     3670    0.000    0.000    0.000    0.000 profiler_util.py:629(key)
       65    0.000    0.000    0.000    0.000 markers.py:257(_recache)
      114    0.000    0.000    0.000    0.000 {method 'div' of 'torch._C.TensorBase' objects}
      263    0.000    0.000    0.000    0.000 artist.py:103(_stale_axes_callback)
      165    0.000    0.000    0.000    0.000 lines.py:1270(set_xdata)
       78    0.000    0.000    0.000    0.000 copy.py:225(_deepcopy_method)
       10    0.000    0.000    0.000    0.000 storage.py:1135(_deepcopy)
        2    0.000    0.000    0.000    0.000 axis.py:1721(_update_axisinfo)
      358    0.000    0.000    0.000    0.000 _pytree.py:699(_is_leaf)
      116    0.000    0.000    0.000    0.000 text.py:1279(_preprocess_math)
      826    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C.TensorBase' objects}
       24    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
       16    0.000    0.000    0.000    0.000 zmqstream.py:710(_update_handler)
      878    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
      204    0.000    0.000    0.000    0.000 _methods.py:43(_amin)
       20    0.000    0.000    0.000    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
       93    0.000    0.000    0.000    0.000 artist.py:437(set_transform)
       41    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       34    0.000    0.000    0.000    0.000 stride_tricks.py:480(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        2    0.000    0.000    0.000    0.000 axis.py:2536(_init)
      358    0.000    0.000    0.000    0.000 _guards.py:711(try_get)
        1    0.000    0.000    0.000    0.000 std.py:102(acquire)
     1276    0.000    0.000    0.000    0.000 transforms.py:113(__init__)
       82    0.000    0.000    0.000    0.000 transforms.py:317(ymax)
      552    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
       29    0.000    0.000    0.000    0.000 axis.py:447(update_position)
  389/336    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
       25    0.000    0.000    0.000    0.000 JpegImagePlugin.py:411(load_read)
      262    0.000    0.000    0.000    0.000 cbook.py:909(get_siblings)
       98    0.000    0.000    0.000    0.000 artist.py:730(set_figure)
       74    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
        4    0.000    0.000    0.000    0.000 transforms.py:1400(contains_branch_seperately)
       64    0.000    0.000    0.000    0.000 artist.py:923(_set_gc_clip)
      358    0.000    0.000    0.000    0.000 _utils.py:855(_element_size)
       20    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
       40    0.000    0.000    0.000    0.000 patches.py:738(_convert_units)
      480    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
       84    0.000    0.000    0.000    0.000 ticker.py:572(__call__)
        4    0.000    0.000    0.000    0.000 transforms.py:1381(contains_branch)
      213    0.000    0.000    0.000    0.000 module.py:1880(__getstate__)
        2    0.000    0.000    0.000    0.000 axis.py:2501(set_default_intervals)
     1839    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
       21    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
        2    0.000    0.000    0.000    0.000 subprocess.py:2021(_wait)
       57    0.000    0.000    0.000    0.000 {method 'mul' of 'torch._C.TensorBase' objects}
       96    0.000    0.000    0.000    0.000 font_manager.py:814(set_size)
        1    0.000    0.000    0.000    0.000 subprocess.py:2008(_try_wait)
        6    0.000    0.000    0.000    0.000 patches.py:600(get_window_extent)
      240    0.000    0.000    0.000    0.000 _methods.py:39(_amax)
     1050    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 Image.py:593(_ensure_mutable)
        2    0.000    0.000    0.000    0.000 backend_agg.py:274(clear)
        1    0.000    0.000    0.000    0.000 Image.py:587(_copy)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      115    0.000    0.000    0.000    0.000 transforms.py:2043(scale)
      114    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
       12    0.000    0.000    0.000    0.000 ticker.py:708(_compute_offset)
       20    0.000    0.000    0.000    0.000 _config_module.py:573(__getattr__)
      698    0.000    0.000    0.000    0.000 function_base.py:348(iterable)
        1    0.000    0.000    0.000    0.000 category.py:87(default_units)
       44    0.000    0.000    0.000    0.000 transforms.py:794(unit)
       64    0.000    0.000    0.000    0.000 backend_bases.py:934(set_clip_path)
        8    0.000    0.000    0.000    0.000 axis.py:497(_apply_tickdir)
       20    0.000    0.000    0.000    0.000 profiler.py:346(_get_distributed_info)
       72    0.000    0.000    0.000    0.000 transforms.py:302(xmin)
     1157    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 storage.py:240(__deepcopy__)
      358    0.000    0.000    0.000    0.000 _pytree.py:692(_get_node_type)
       24    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       16    0.000    0.000    0.000    0.000 session.py:92(json_packer)
       78    0.000    0.000    0.000    0.000 transforms.py:307(ymin)
       24    0.000    0.000    0.000    0.000 path.py:413(iter_bezier)
       57    0.000    0.000    0.000    0.000 utils.py:26(_reverse_repeat_tuple)
       48    0.000    0.000    0.000    0.000 threading.py:1535(enumerate)
      333    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
        2    0.000    0.000    0.000    0.000 backend_agg.py:393(get_renderer)
        1    0.000    0.000    0.000    0.000 subprocess.py:807(__init__)
       21    0.000    0.000    0.000    0.000 <frozen posixpath>:408(abspath)
    56/52    0.000    0.000    0.000    0.000 spines.py:339(get_spine_transform)
       10    0.000    0.000    0.000    0.000 storage.py:256(clone)
       35    0.000    0.000    0.000    0.000 shape_base.py:612(column_stack)
      240    0.000    0.000    0.000    0.000 font_manager.py:1289(<genexpr>)
      760    0.000    0.000    0.000    0.000 enum.py:1267(__hash__)
     3144    0.000    0.000    0.000    0.000 profiler_util.py:541(<genexpr>)
    49/25    0.000    0.000    0.000    0.000 transforms.py:2384(__eq__)
       14    0.000    0.000    0.000    0.000 text.py:342(update_from)
      595    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 _base.py:3513(set_xbound)
       38    0.000    0.000    0.000    0.000 font_manager.py:1525(get_font)
       72    0.000    0.000    0.000    0.000 transforms.py:312(xmax)
      108    0.000    0.000    0.000    0.000 _VF.py:27(__getattr__)
      468    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
      108    0.000    0.000    0.000    0.000 transforms.py:2897(_interval_contains_close)
      155    0.000    0.000    0.000    0.000 cbook.py:1324(is_math_text)
        2    0.000    0.000    0.000    0.000 figure.py:215(_get_draw_artists)
        6    0.000    0.000    0.000    0.000 path.py:607(get_extents)
       16    0.000    0.000    0.000    0.000 __init__.py:183(dumps)
       74    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
      358    0.000    0.000    0.000    0.000 serialization.py:1800(restore_location)
       20    0.000    0.000    0.000    0.000 _config_module.py:274(__getattr__)
      212    0.000    0.000    0.000    0.000 artist.py:281(convert_yunits)
       15    0.000    0.000    0.000    0.000 socket.py:777(recv_multipart)
        2    0.000    0.000    0.000    0.000 ticker.py:425(__init__)
       39    0.000    0.000    0.000    0.000 lines.py:1138(set_linestyle)
       35    0.000    0.000    0.000    0.000 artist.py:1155(update_from)
       78    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
      117    0.000    0.000    0.000    0.000 lines.py:1197(_set_markercolor)
       24    0.000    0.000    0.000    0.000 transforms.py:1106(get_points)
     3144    0.000    0.000    0.000    0.000 profiler_util.py:549(<genexpr>)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       74    0.000    0.000    0.000    0.000 text.py:890(get_unitless_position)
       12    0.000    0.000    0.000    0.000 ticker.py:747(_set_order_of_magnitude)
    14/13    0.000    0.000    0.000    0.000 iostream.py:259(schedule)
       21    0.000    0.000    0.000    0.000 transforms.py:1084(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1791(_execute_child)
       47    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2100(clip)
      358    0.000    0.000    0.000    0.000 _python_dispatch.py:185(_get_current_dispatch_mode_stack)
        5    0.000    0.000    0.000    0.000 axis.py:440(_apply_tickdir)
       81    0.000    0.000    0.000    0.000 units.py:56(_is_natively_supported)
        1    0.000    0.000    0.000    0.000 _base.py:785(set_subplotspec)
      509    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
      100    0.000    0.000    0.000    0.000 JpegImagePlugin.py:57(Skip)
       20    0.000    0.000    0.000    0.000 transforms.py:2759(get_transformed_points_and_affine)
       57    0.000    0.000    0.000    0.000 init.py:72(calculate_gain)
       15    0.000    0.000    0.000    0.000 patches.py:347(set_facecolor)
      344    0.000    0.000    0.000    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
       93    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:1529(info)
       31    0.000    0.000    0.000    0.000 attrsettr.py:65(_get_attr_opt)
       65    0.000    0.000    0.000    0.000 axis.py:338(_set_artist_props)
        2    0.000    0.000    0.000    0.000 ticker.py:537(set_useMathText)
       84    0.000    0.000    0.000    0.000 ticker.py:514(_format_maybe_minus_and_locale)
       45    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
        2    0.000    0.000    0.000    0.000 category.py:198(update)
        2    0.000    0.000    0.000    0.000 basic_hooks.py:125(count_upsample)
      353    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    72/32    0.000    0.000    0.000    0.000 transforms.py:2391(_iter_break_from_left_to_right)
        3    0.000    0.000    0.000    0.000 __init__.py:1660(_log)
      822    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       84    0.000    0.000    0.000    0.000 __init__.py:824(sym_int)
       15    0.000    0.000    0.000    0.000 patches.py:340(_set_facecolor)
        3    0.000    0.000    0.000    0.000 __init__.py:1686(handle)
       47    0.000    0.000    0.000    0.000 __init__.py:132(check_shape)
       20    0.000    0.000    0.000    0.000 JpegImagePlugin.py:205(SOF)
      432    0.000    0.000    0.000    0.000 hooks.py:33(<genexpr>)
      900    0.000    0.000    0.000    0.000 profiler_util.py:772(_filter_name)
       16    0.000    0.000    0.000    0.000 encoder.py:183(encode)
      131    0.000    0.000    0.000    0.000 axis.py:786(get_transform)
      276    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        2    0.000    0.000    0.000    0.000 _base.py:3588(set_xlim)
       20    0.000    0.000    0.000    0.000 Image.py:390(_getdecoder)
       25    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
     1002    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 lines.py:1053(set_color)
        1    0.000    0.000    0.000    0.000 backend_agg.py:64(__init__)
      149    0.000    0.000    0.000    0.000 scale.py:115(get_transform)
        4    0.000    0.000    0.000    0.000 _base.py:1871(apply_aspect)
       35    0.000    0.000    0.000    0.000 text.py:1095(set_fontsize)
       20    0.000    0.000    0.000    0.000 transforms.py:2746(_revalidate)
       10    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
      262    0.000    0.000    0.000    0.000 weakref.py:451(get)
       99    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       19    0.000    0.000    0.000    0.000 utils.py:627(_log_api_usage_once)
      716    0.000    0.000    0.000    0.000 serialization.py:1777(_maybe_decode_ascii)
      837    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      296    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      180    0.000    0.000    0.000    0.000 ImageFile.py:572(_safe_read)
        2    0.000    0.000    0.000    0.000 ticker.py:2858(__init__)
       14    0.000    0.000    0.000    0.000 spines.py:234(_adjust_location)
       37    0.000    0.000    0.000    0.000 text.py:1027(set_linespacing)
        3    0.000    0.000    0.000    0.000 __init__.py:1746(callHandlers)
      358    0.000    0.000    0.000    0.000 storage.py:1245(_data_ptr)
       40    0.000    0.000    0.000    0.000 transforms.py:1833(frozen)
       34    0.000    0.000    0.000    0.000 transforms.py:1612(transform_path_non_affine)
        1    0.000    0.000    0.000    0.000 pyplot.py:4127(title)
        2    0.000    0.000    0.000    0.000 ticker.py:1974(__init__)
       20    0.000    0.000    0.000    0.000 lines.py:726(_get_transformed_path)
        1    0.000    0.000    0.000    0.000 gridspec.py:658(get_position)
       22    0.000    0.000    0.000    0.000 Image.py:527(_new)
      358    0.000    0.000    0.000    0.000 _pytree.py:681(_is_namedtuple_instance)
       20    0.000    0.000    0.000    0.000 profiler.py:132(__init__)
        2    0.000    0.000    0.000    0.000 axis.py:2398(_update_offset_text_position)
        2    0.000    0.000    0.000    0.000 ticker.py:2034(set_params)
       36    0.000    0.000    0.000    0.000 fromnumeric.py:2421(all)
       16    0.000    0.000    0.000    0.000 transforms.py:1710(__eq__)
       15    0.000    0.000    0.000    0.000 cbook.py:215(connect)
        1    0.000    0.000    0.000    0.000 _axes.py:104(set_title)
      161    0.000    0.000    0.000    0.000 cbook.py:1337(_to_unmasked_float_array)
      125    0.000    0.000    0.000    0.000 font_manager.py:722(set_family)
       16    0.000    0.000    0.000    0.000 encoder.py:205(iterencode)
       23    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      239    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
       41    0.000    0.000    0.000    0.000 _util.py:9(is_path)
       16    0.000    0.000    0.000    0.000 transforms.py:2162(__eq__)
     1342    0.000    0.000    0.000    0.000 artist.py:293(axes)
       21    0.000    0.000    0.000    0.000 Image.py:413(_getencoder)
       93    0.000    0.000    0.000    0.000 _methods.py:61(_all)
    47/25    0.000    0.000    0.000    0.000 _base.py:909(get_xaxis_transform)
     1796    0.000    0.000    0.000    0.000 profiler_util.py:576(device_time_total)
    74/40    0.000    0.000    0.000    0.000 _base.py:989(get_yaxis_transform)
       61    0.000    0.000    0.000    0.000 font_manager.py:736(set_style)
      472    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       86    0.000    0.000    0.000    0.000 markers.py:282(_set_fillstyle)
       20    0.000    0.000    0.000    0.000 lines.py:711(_transform_path)
        8    0.000    0.000    0.000    0.000 axis.py:491(_get_text1_transform)
      358    0.000    0.000    0.000    0.000 serialization.py:672(default_restore_location)
       47    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      124    0.000    0.000    0.000    0.000 transforms.py:2411(transform_non_affine)
        5    0.000    0.000    0.000    0.000 _base.py:1126(_set_position)
        1    0.000    0.000    0.000    0.000 serialization.py:1910(persistent_load)
       21    0.000    0.000    0.000    0.000 warnings.py:484(__enter__)
     1796    0.000    0.000    0.000    0.000 profiler_util.py:605(self_device_time_total)
       24    0.000    0.000    0.000    0.000 iostream.py:577(_schedule_flush)
      368    0.000    0.000    0.000    0.000 {method 'untyped_storage' of 'torch._C.TensorBase' objects}
        8    0.000    0.000    0.000    0.000 _base.py:1017(get_yaxis_text1_transform)
      106    0.000    0.000    0.000    0.000 artist.py:1043(set_visible)
        2    0.000    0.000    0.000    0.000 category.py:183(_str_is_convertible)
       39    0.000    0.000    0.000    0.000 lines.py:732(set_transform)
      391    0.000    0.000    0.000    0.000 threading.py:1198(ident)
        7    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
       20    0.000    0.000    0.000    0.000 Image.py:242(_conv_type_shape)
        1    0.000    0.000    0.000    0.000 axis.py:1775(set_units)
        3    0.000    0.000    0.000    0.000 __init__.py:1011(handle)
        1    0.000    0.000    0.000    0.000 serialization.py:762(__init__)
        8    0.000    0.000    0.000    0.000 transforms.py:239(__array__)
        5    0.000    0.000    0.000    0.000 iostream.py:587(_schedule_in_thread)
        1    0.000    0.000    0.000    0.000 yolo.py:189(fuse)
      127    0.000    0.000    0.000    0.000 transforms.py:2592(get_matrix)
        2    0.000    0.000    0.000    0.000 _parser.py:1270(parse)
       11    0.000    0.000    0.000    0.000 cbook.py:229(_connect_picklable)
        1    0.000    0.000    0.000    0.000 category.py:27(convert)
      900    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      144    0.000    0.000    0.000    0.000 hooks.py:35(remove)
       72    0.000    0.000    0.000    0.000 text.py:1246(set_verticalalignment)
       21    0.000    0.000    0.000    0.000 warnings.py:505(__exit__)
       36    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 category.py:169(__init__)
       11    0.000    0.000    0.000    0.000 transforms.py:2324(blended_transform_factory)
   102/96    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        5    0.000    0.000    0.000    0.000 ioloop.py:596(call_later)
       84    0.000    0.000    0.000    0.000 ticker.py:245(fix_minus)
      147    0.000    0.000    0.000    0.000 profiler_util.py:395(<lambda>)
      244    0.000    0.000    0.000    0.000 text.py:1203(set_y)
       61    0.000    0.000    0.000    0.000 font_manager.py:749(set_variant)
       60    0.000    0.000    0.000    0.000 calc_func.py:28(calculate_conv2d_flops)
       20    0.000    0.000    0.000    0.000 bezier.py:199(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:572(parse)
  339/184    0.000    0.000    0.000    0.000 transforms.py:2398(<lambda>)
        7    0.000    0.000    0.000    0.000 _base.py:4283(get_children)
        6    0.000    0.000    0.000    0.000 transforms.py:1593(transform_path)
        5    0.000    0.000    0.000    0.000 axis.py:2269(setter)
        1    0.000    0.000    0.000    0.000 _base.py:819(set_figure)
       36    0.000    0.000    0.000    0.000 transforms.py:2576(__init__)
       24    0.000    0.000    0.000    0.000 ticker.py:1904(scale_range)
        6    0.000    0.000    0.000    0.000 traitlets.py:708(__set__)
       34    0.000    0.000    0.000    0.000 stride_tricks.py:416(_broadcast_shape)
        3    0.000    0.000    0.000    0.000 __init__.py:1645(makeRecord)
       39    0.000    0.000    0.000    0.000 lines.py:1221(set_markerfacecolor)
       13    0.000    0.000    0.000    0.000 fromnumeric.py:2322(any)
        1    0.000    0.000    0.000    0.000 deprecation.py:379(wrapper)
      370    0.000    0.000    0.000    0.000 inspect.py:3072(<genexpr>)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:275(_modified_open)
        8    0.000    0.000    0.000    0.000 axis.py:494(_get_text2_transform)
        2    0.000    0.000    0.000    0.000 ticker.py:2013(_validate_steps)
      118    0.000    0.000    0.000    0.000 transforms.py:2255(get_affine)
       20    0.000    0.000    0.000    0.000 markers.py:354(get_transform)
        1    0.000    0.000    0.000    0.000 figure.py:186(__init__)
        6    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
       24    0.000    0.000    0.000    0.000 transforms.py:368(bounds)
      103    0.000    0.000    0.000    0.000 lines.py:75(_scale_dashes)
        1    0.000    0.000    0.000    0.000 gridspec.py:144(get_grid_positions)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 _base.py:1515(_set_title_offset_trans)
        4    0.000    0.000    0.000    0.000 _base.py:2491(update_datalim)
       11    0.000    0.000    0.000    0.000 transforms.py:788(frozen)
        3    0.000    0.000    0.000    0.000 __init__.py:1148(emit)
       20    0.000    0.000    0.000    0.000 transforms.py:2731(__init__)
        6    0.000    0.000    0.000    0.000 transforms.py:1054(set)
        3    0.000    0.000    0.000    0.000 __init__.py:298(__init__)
       20    0.000    0.000    0.000    0.000 BmpImagePlugin.py:55(_dib_accept)
        1    0.000    0.000    0.000    0.000 yolo.py:200(info)
       38    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
